Startup,Industry,TotalFunding,Status,Country,City,FundingRounds,FoundedAt,FirstFundingAt,LastFundingAt,StatusCode
MobiKwik,Curated Web|Internet|Mobile|Mobile Payments|Payments|Service Providers|Telecommunications,30250000,operating,IND,Gurgaon,3,01-08-2009,16-09-2012,08-04-2015,0
Mobile2Win India,Mobile,15000000,operating,IND,Mumbai,1,,13-11-2006,13-11-2006,0
MobileVeda,Mobile,9000,operating,IND,Vellore,1,01-01-2007,01-04-2007,01-04-2007,0
mobME Solutions,Content|Internet|Mobile|Mobile Software Tools|SMS,3400000,operating,IND,Cochin,3,12-12-2006,01-12-2006,14-01-2014,0
MobStac,Mobile|Publishing,2000000,operating,IND,Bangalore,1,01-06-2009,01-12-2013,01-12-2013,0
Mobule,EdTech|Education,-,operating,IND,Bangalore,1,30-05-2013,20-01-2014,20-01-2014,0
MockBank,Education,400000,operating,IND,Bangalore,1,01-01-2013,08-09-2015,08-09-2015,0
Modern Family Doctor,Health Care,-,operating,IND,Bangalore,1,,20-02-2014,20-02-2014,0
MoEngage,Mobile|Mobile Enterprise|SaaS,6835114,operating,IND,Bangalore,2,01-01-2007,09-09-2015,14-09-2015,0
Moglix,,-,operating,IND,Noida,1,,30-10-2015,30-10-2015,0
Mom Junction,Kids|Mothers|Parenting,1500000,operating,IND,Madhapur,1,02-04-2014,05-01-2007,05-01-2007,0
Momoe Technologies,Digital Media|Mobile Payments|Startups,1200000,operating,IND,Bangalore,2,01-01-2014,20-10-2014,27-02-2015,0
Monarch Innovative Technologies,Software,5500000,operating,IND,Mumbai,1,01-01-1984,28-09-2010,28-09-2010,0
Money On Mobile,Curated Web|Mobile,10000000,operating,IND,Mumbai,1,01-01-2010,16-09-2013,16-09-2013,0
Money-Wizards,Finance,-,operating,IND,Chennai,1,01-07-2011,22-10-2012,22-10-2012,0
Moonfrog Labs,Game,15000000,operating,IND,Bangalore,1,12-10-2013,11-03-2015,11-03-2015,0
Moovo,Transportation,-,operating,IND,New Delhi,1,01-01-2014,17-06-2015,17-06-2015,0
Mosambee,Fruit,1000000,operating,IND,Mumbai,2,01-01-2008,01-01-2013,23-03-2015,0
Moser Baer Solar,Clean Technology,92500000,operating,IND,New Delhi,1,,04-09-2008,04-09-2008,0
Motor Chronicles,Automotive|Brand Marketing|Design|Services,55187,operating,IND,Bangalore,1,21-04-2012,15-07-2015,15-07-2015,0
Motorpaneer,Automotive,40000,operating,IND,New Delhi,1,01-08-2013,23-08-2013,23-08-2013,0
MoveInSync,Software,4000000,operating,IND,Bangalore,2,01-01-2009,07-08-2014,15-07-2015,0
Mowbly,Collaboration|Enterprises|Enterprise Software|Mobile|Mobility,-,operating,IND,Hyderabad,1,09-05-2011,31-03-2012,31-03-2012,0
Mr Banana,Hospitality|Marketplaces|Professional Services|Services,-,operating,IND,Gurgaon,1,01-07-2014,01-08-2014,01-08-2014,0
mShipper,Crowdsourcing,77000,operating,IND,New Delhi,1,,16-10-2015,16-10-2015,0
MSM Box,E-Commerce,-,operating,IND,Delhi,1,01-01-2014,17-08-2015,17-08-2015,0
Mswipe Technologies,Financial Services,25000000,operating,IND,Mumbai,3,01-03-2011,10-01-2013,22-07-2015,0
Mubble,Public Relations,-,operating,IND,Bangalore,2,01-01-2012,15-09-2015,12-10-2015,0
Muft Internet,Computers|Design|Internet Service Providers,61895,closed,IND,Mumbai,1,10-11-2014,10-12-2014,10-12-2014,1
muHive,Curated Web|Social CRM,30000,operating,IND,Bangalore,1,01-06-2012,01-02-2014,01-02-2014,0
Multistory Learning,Education,45000,operating,IND,Chennai,1,01-01-2011,03-01-2013,03-01-2013,0
Must See India,Career Planning|Guides|Travel,5000000,operating,IND,Bangalore,1,01-11-2007,02-07-2013,02-07-2013,0
My Dream Store,Communities|Crowdfunding|E-Commerce|Finance|Internet|Marketplaces,300000,operating,IND,Hyderabad,1,25-04-2014,14-01-2015,14-01-2015,0
My Taxi India,Public Transportation,500000,operating,IND,New Delhi,1,05-01-2008,10-08-2015,10-08-2015,0
MyBusTickets,Apps,-,operating,IND,Hyderabad,1,,22-01-2014,22-01-2014,0
myCFO,Banking|Finance|Financial Services|Wealth Management,978000,operating,IND,Mumbai,1,01-01-2006,29-06-2015,29-06-2015,0
Mycity4kids,Babies,-,operating,IND,Delhi,1,01-01-2010,19-06-2012,19-06-2012,0
MyCuteOffice,Real Estate,-,operating,IND,Mumbai,1,01-01-2014,13-05-2015,13-05-2015,0
mydala,E-Commerce,6000000,operating,IND,New Delhi,1,01-11-2009,25-09-2011,25-09-2011,0
MyDentist,Health Care,18000000,operating,IND,Mumbai,2,,01-01-2013,17-06-2015,0
myeasydocs,Data Security|Document Management|Fraud Detection|Privacy,1000000,operating,IND,Chennai,1,,24-09-2014,24-09-2014,0
MyIndianStay,E-Commerce|Hospitality|Hotels|Travel|Vacation Rentals,200000,operating,IND,Panjim,1,01-01-2012,05-11-2015,05-11-2015,0
MyLabYogi.com,Diagnostics|Health and Wellness|Health Diagnostics|Online Scheduling,-,operating,IND,Mumbai,1,01-01-2012,16-09-2014,16-09-2014,0
MyNewCar.in,Automotive|Cars,250000,operating,IND,Gurgaon,1,06-03-2014,17-11-2015,17-11-2015,0
MyNewDeals.com,E-Commerce|Hotels|Resorts,200000,operating,IND,Ahmedabad,1,12-05-2011,01-01-2010,01-01-2010,0
Hiree,Human Resources|Recruiting,3330100,operating,IND,Bangalore,2,20-05-2013,04-09-2014,09-02-2015,0
Myntra,E-Commerce,158750000,acquired,IND,Bangalore,9,01-01-2007,01-01-2007,31-01-2014,2
Myonsto.com,E-Commerce,314000,operating,IND,Ahmedabad,1,01-03-2015,22-07-2015,22-07-2015,0
MyParichay,Advertising Networks|Facebook Applications|Mobile|Recruiting|Search|Social Media,250000,operating,IND,Bangalore,1,01-04-2012,01-10-2011,01-10-2011,0
MyPoolin,Moneymaking,-,operating,IND,Dwarka,1,17-08-2014,02-06-2015,02-06-2015,0
MyRefers,Analytics|Big Data|Employment|File Sharing|Human Resources|Mobile Social|Recruiting|Social Media,600000,operating,IND,New Delhi,2,28-05-2014,01-09-2013,15-10-2014,0
Myshaadi.in,Curated Web,-,operating,IND,New Delhi,1,01-02-2011,01-04-2012,01-04-2012,0
MySmartPrice,Software,11000000,operating,IND,Hyderabad,2,10-08-2011,22-01-2014,13-07-2015,0
mYwindow,Curated Web|Mobile|Networking|Search,115000,operating,IND,Nagpur,2,22-01-2013,20-11-2012,20-11-2012,0
Naabo Solutions,Software,-,closed,IND,Bangalore,1,01-01-2007,13-08-2009,13-08-2009,1
Naaptol,E-Commerce,106200000,operating,IND,Mumbai,4,01-01-2008,18-08-2010,24-11-2015,0
Namocart.com,Business Services|E-Commerce|Internet|Services,2000000,operating,IND,Bengaluru,2,09-01-2015,19-11-2015,19-11-2015,0
Nanobi,Analytics|Software,-,operating,IND,Bangalore,1,01-01-2012,03-02-2014,03-02-2014,0
Nappinnai,Electric Vehicles|Manufacturing|Mobility,8311,operating,IND,Chennai,2,01-08-2014,04-09-2014,31-01-2015,0
NationWide Primary Healthcare Services,Health and Wellness,1000000,operating,IND,Bangalore,1,30-03-2010,25-09-2013,25-09-2013,0
Naturally Yours,Health and Wellness,-,operating,IND,Mumbai,1,01-01-2010,07-10-2015,07-10-2015,0
Nayam Innovations,Health Care|Technology,100000,operating,IND,Pune,1,01-01-2012,14-05-2015,14-05-2015,0
Nayi Disha Studios,Educational Games|Games|K-12 Education|Kinect|PC Gaming|Skill Gaming|Virtual Worlds,320000,operating,IND,New Delhi,1,21-06-2012,13-04-2015,13-04-2015,0
Nazara Technologies,Mobile,9301500,operating,IND,Mumbai,3,01-01-2000,19-10-2005,28-11-2013,0
Near.in,Consumer Internet|Marketplaces,290000,operating,IND,Gurgaon,1,,06-01-2015,06-01-2015,0
Near Page,Advertising,10000,operating,IND,Bangalore,1,04-10-2013,11-08-2013,11-08-2013,0
Nearbuyme.in,E-Commerce,-,operating,IND,Hyderabad-deccan,1,01-10-2014,08-11-2014,08-11-2014,0
Novelroots Internet,Events|Local Search,300000,operating,IND,Delhi,1,01-12-2012,14-09-2014,14-09-2014,0
Neo Quotient,Education|SaaS,35000,closed,IND,Hyderabad,2,27-08-2012,10-06-2012,03-04-2014,1
Neogrowth,Finance,8620000,operating,IND,Mumbai,2,01-01-2010,26-03-2014,04-08-2015,0
Neotrade Analytics,Trading,227000,operating,IND,Bangalore,1,05-12-2013,21-09-2015,21-09-2015,0
NephroPlus,Health and Wellness,14000000,operating,IND,Hyderabad,2,01-01-2009,01-01-2011,05-03-2014,0
NestAway,Real Estate,13200000,operating,IND,Bangalore,2,01-01-2015,16-03-2015,21-07-2015,0
NeST Group,Software,22250000,operating,IND,Cochin,1,01-01-1991,01-01-2006,01-01-2006,0
Netmagic Solutions,Web Hosting,36000000,acquired,IND,Mumbai,2,01-01-1999,12-02-2008,07-10-2010,2
Network18,Public Relations,10000000,acquired,IND,New Delhi,1,,01-10-2009,01-10-2009,2
Newgen Internet Networks,Fashion,940000,operating,IND,Mumbai,1,01-01-2012,01-06-2015,01-06-2015,0
Newgen Payments,Bridging Online and Offline|Business Analytics|E-Commerce|Fraud Detection|Internet Marketing|Mobile Commerce|Mobile Payments|Payments,-,operating,IND,New Delhi,1,01-01-2014,25-05-2015,25-05-2015,0
Newgen Software Technologies,Software,25260000,operating,IND,New Delhi,2,01-01-1992,07-01-2008,03-02-2014,0
Inshorts,Internet|Media|News,24000000,operating,IND,New Delhi,3,01-04-2013,14-07-2014,09-07-2015,0
NewsHunt,News|Social News,58000000,operating,IND,Bangalore,2,01-01-2009,22-09-2014,06-02-2015,0
NexGear,Mobile|Wearables,-,operating,IND,Mumbai,1,01-10-2014,01-01-2015,01-01-2015,0
NextGen,Consulting,-,operating,IND,Bangalore,1,01-01-2009,17-02-2015,17-02-2015,0
NGmodem,Consumer Electronics,100000,operating,IND,Idukki,1,07-07-2012,28-11-2014,28-11-2014,0
Nibodha Technologies Pvt Ltd,Enterprise Software|Product Development Services|Travel|Vacation Rentals,25000,operating,IND,Cochin,1,20-11-2012,20-11-2012,20-11-2012,0
Niffler,Discounts|Local|Mobile|Sales and Marketing,1000000,acquired,IND,Mumbai,1,,04-03-2015,04-03-2015,2
Nifty Window,Internet|Software,-,operating,IND,Bangalore,1,10-05-2013,17-01-2014,17-01-2014,0
NightStay,E-Commerce Platforms,500000,operating,IND,New Delhi,1,01-07-2014,04-08-2015,04-08-2015,0
niki.ai,Android,-,operating,IND,,1,01-01-2015,30-10-2015,30-10-2015,0
Nimble Wireless,Wireless,500000,operating,IND,Chennai,1,,11-02-2015,11-02-2015,0
Nimbus Communications,,125000000,closed,IND,Mumbai,1,,22-01-2007,22-01-2007,1
Ninjaas,Innovation Engineering|Marketplaces|Mobile,50000,operating,IND,Bangalore City,1,12-12-2000,20-08-2014,20-08-2014,0
Nivaata Systems Pvt Ltd,Location Based Services|Logistics|Transportation|Wireless,1000000,operating,IND,Bangalore,1,01-01-2008,12-01-2015,12-01-2015,0
nivio,App Stores|Cloud Computing|Cloud Data Services|Enterprise Software|SaaS|Software|Storage,21000000,closed,IND,Gurgaon,1,14-12-2004,09-02-2012,09-02-2012,1
Nobel Hygiene,E-Commerce,11500000,operating,IND,Mumbai,1,01-01-2001,08-03-2013,08-03-2013,0
NoBroker,Real Estate|Rental Housing,3000000,operating,IND,Bangalore,1,01-01-2014,23-02-2015,23-02-2015,0
Nogle Technologies,Curated Web,250000,operating,IND,Noida,1,01-01-2011,01-03-2011,01-03-2011,0
Noodle Play,Food Processing,16000,operating,IND,Mumbai,1,,31-07-2015,31-07-2015,0
NoPaperForms.com,Software,500000,operating,IND,Thane,1,15-01-2010,01-07-2011,01-07-2011,0
Nova Specialty Hospitals,Health Care,54000000,operating,IND,Bengaluru,1,01-01-2009,13-08-2012,13-08-2012,0
Novatium,,-,operating,IND,Chennai,1,01-01-2004,21-09-2007,21-09-2007,0
NowFloats,Curated Web|Location Based Services|Startups,-,operating,IND,Hyderabad,2,01-01-2012,10-06-2013,02-01-2015,0
Nozpad,Fitness|Health and Wellness|Wearables,-,operating,IND,Pune,1,01-03-2014,21-02-2015,21-02-2015,0
NSL Renewable Power,Clean Technology,5000000,operating,IND,Hyderabad,1,01-01-1985,29-05-2013,29-05-2013,0
Nucleus Research,Apps,500000,operating,IND,Gurgaon,1,,30-12-2014,30-12-2014,0
NumberMall,E-Commerce|Mobile Payments,10000000,operating,IND,Secunderabad,1,01-01-2012,05-01-2015,05-01-2015,0
Nunook Interactive,Games|Virtual Worlds,-,operating,IND,Chennai,1,01-01-2009,23-09-2011,23-09-2011,0
Nutri-Health,Health and Wellness,2000000,operating,IND,New Delhi,1,01-01-1999,21-04-2015,21-04-2015,0
NxtGen Data Center & Cloud Services,Software,22300000,operating,IND,Bangalore,2,01-01-2012,02-09-2013,01-07-2015,0
Nykaa,Fashion,12900000,operating,IND,Mumbai,2,,03-07-2014,05-10-2015,0
Observe Design,Health Care,-,operating,IND,New Delhi,1,15-08-2013,22-07-2013,22-07-2013,0
Octathorpe Web-Consultants,,250000,operating,IND,Hyderabad,1,01-01-2010,12-11-2015,12-11-2015,0
Octro,Online Gaming,15000000,operating,IND,Delhi,1,01-01-2006,04-06-2014,04-06-2014,0
OfficeCloud,Clean Technology|Cloud Management|Information Technology,120000000,operating,IND,Mumbai,2,01-01-2011,01-04-2011,11-04-2012,0
Olah-Viq Software Solutions,Cloud Computing|Software|Web Development,-,closed,IND,Chennai,1,02-07-2010,10-12-2010,10-12-2010,1
Omni Hospitals,Biotechnology,9800000,operating,IND,Hyderabad,1,01-01-2010,07-08-2013,07-08-2013,0
Omnikart,E-Commerce,100000,operating,IND,Mumbai,1,01-01-2014,17-07-2015,17-07-2015,0
One97 Communications,Mobile,585000000,operating,IND,New Delhi,4,23-12-2000,23-10-2008,11-01-2015,0
OneAssist,SaaS|Security,9251000,closed,IND,Mumbai,3,01-06-2011,05-08-2011,12-08-2015,1
OneBreath,Consulting,3000000,operating,IND,Bangalore,2,,12-12-2013,28-01-2014,0
Online Prasad,E-Commerce,-,operating,IND,Bangalore,2,01-01-2012,24-06-2013,13-10-2014,0
OnlineTyari,E-Commerce Platforms|EdTech|Education,750000,operating,IND,Gurgaon,1,06-01-2014,09-09-2015,09-09-2015,0
Opinio,Logistics,8300000,operating,IND,Bangalore,2,01-01-2015,29-07-2015,20-10-2015,0
opinions.h,Advertising|Direct Marketing|Internet|Opinions|Sales and Marketing,15000,closed,IND,,1,01-11-2009,01-02-2010,01-02-2010,1
OrangeScape,Cloud Computing|Enterprise Software|PaaS,1000000,closed,IND,Chennai,1,01-12-2003,01-05-2012,01-05-2012,1
Oravel,Travel,-,operating,IND,New Delhi,2,21-02-2012,15-10-2012,06-03-2014,0
Orbster,Location Based Services|Mobile,736050,operating,IND,Bangalore,1,01-01-2008,01-01-2008,01-01-2008,0
Organic Shop,E-Commerce|Marketplaces,50000,operating,IND,Jaipur,1,01-01-2011,12-08-2013,12-08-2013,0
Orient Green Power,Clean Technology|Environmental Innovation|Renewable Energies,55000000,operating,IND,Chennai,1,01-01-2007,26-11-2008,26-11-2008,0
Orobind Fitness Technologies Pvt. Ltd.,Active Lifestyle|Fitness|Location Based Services,250000,operating,IND,Bangalore,1,01-06-2014,12-03-2015,12-03-2015,0
Ourcampus.co,All Students|Education|Online Education|Training,-,operating,IND,Delhi,1,10-02-2015,15-04-2015,15-04-2015,0
20Dresses,E-Commerce|Lifestyle,1000000,operating,IND,Mumbai,1,18-11-2011,13-02-2015,13-02-2015,0
OUWT,Apps,150000,operating,IND,Mumbai,1,,20-11-2015,20-11-2015,0
Overcart,Retail,-,operating,IND,New Delhi,1,01-01-2012,24-06-2014,24-06-2014,0
OYO Rooms,Hospitality|Online Reservations,125650000,operating,IND,Gurgaon,4,01-01-2013,01-01-2013,03-08-2015,0
Ozone Media (now Adadyn),Ad Targeting|Advertising|Advertising Platforms|Curated Web|E-Commerce|Internet Technology|Marketing Automation|Real Time|Retail Technology,7800000,operating,IND,Bangalore,3,01-01-2006,01-04-2008,01-09-2012,0
Paaltao,E-Commerce|Marketplaces,30000,operating,IND,Kolkata,1,01-01-2015,01-02-2015,01-02-2015,0
Padhaaro,Travel & Tourism,10000,operating,IND,Bangalore,1,01-01-2012,15-01-2014,15-01-2014,0
Paint Collar,Art,-,operating,IND,Thane,1,01-01-2014,17-09-2015,17-09-2015,0
Paladion,Enterprise Software|Information Security|Risk Management,10000000,operating,IND,Bangalore,1,01-01-2000,18-06-2014,18-06-2014,0
Parallocity,Analytics,-,closed,IND,Bangalore,3,,03-07-2005,04-01-2012,1
Parcelled.in,Logistics,5000000,operating,IND,Bangalore,2,01-01-2014,15-07-2015,26-10-2015,0
PayMate India,E-Commerce|FinTech,14000000,operating,IND,Mumbai,2,01-01-2006,01-07-2006,01-06-2008,0
Paytm,E-Commerce|Online Shopping,700000000,operating,IND,Noida,3,01-01-2010,13-03-2015,29-09-2015,0
PayTunes,Marketing Automation,-,operating,IND,Delhi,1,01-01-2015,04-11-2015,04-11-2015,0
Peel-Works,Human Resources,2000000,operating,IND,Mumbai,1,01-09-2010,28-07-2014,28-07-2014,0
People Interactive (India),Curated Web,8000000,operating,IND,Mumbai,1,,10-03-2006,10-03-2006,0
PeopleEasy.com,,-,operating,IND,Delhi,1,01-05-2015,05-05-2015,05-05-2015,0
Pepperfry.com,E-Commerce,128000000,operating,IND,Mumbai,4,01-01-2011,12-12-2011,27-07-2015,0
PepperTap,Apps|Groceries|Online Shopping,47200000,operating,IND,Gurgaon,3,26-11-2014,10-03-2015,29-09-2015,0
Perch Service Apartments,Property Management|Real Estate Investors|Service Providers,200000,operating,IND,Gurgaon,1,01-06-2010,04-01-2010,04-01-2010,0
Perfint Healthcare,Biotechnology,32700000,operating,IND,Chennai,4,01-01-2005,01-12-2007,01-01-2013,0
Perlecan Pharma,Bio-Pharm|Medical|Pharmaceuticals,52500000,closed,IND,,1,,30-09-2005,30-09-2005,1
Perpetuuiti TechnoSoft Services,Software,-,operating,IND,Gurgaon,1,01-01-2011,23-10-2013,23-10-2013,0
Phone Warrior,Mobile,550000,operating,IND,New Delhi,1,26-01-2012,09-12-2013,09-12-2013,0
Phonethics Mobile Media,Advertising|Graphics|Internet,200000,operating,IND,Mumbai,1,01-01-2006,07-05-2007,07-05-2007,0
Pickingo,B2B|Delivery|Services,1300000,acquired,IND,Gurgaon,1,,04-08-2015,04-08-2015,2
PickMyLaundry,Consumer Goods,100000,operating,IND,Delhi,1,01-01-2015,24-08-2015,24-08-2015,0
Pickrr Technologies,Logistics,-,operating,IND,New Delhi,1,01-01-2015,18-11-2015,18-11-2015,0
Ping Digital Network,Broadcasting|Media|TV Production|Video,-,operating,IND,Mumbai,1,01-01-2012,19-01-2015,19-01-2015,0
Pipa+Bella,E-Commerce|Fashion|Jewelry|Retail,650000,operating,IND,Mumbai,1,03-12-2013,28-07-2015,28-07-2015,0
PiQube,Recruiting|Software,500000,operating,IND,Chennai,1,01-01-2012,29-04-2015,29-04-2015,0
Piramal Realty,Real Estate,434000000,operating,IND,Mumbai,2,01-01-2011,22-07-2015,17-08-2015,0
Plabro Networks,Real Estate,350000,operating,IND,Bangalore,1,01-01-2015,17-09-2015,17-09-2015,0
Place of Origin,E-Commerce|Food Processing,-,operating,IND,Bangalore,1,,18-11-2015,18-11-2015,0
Plancess Edu Solutions Pvt Ltd,Education|Video|Video on Demand,2000000,operating,IND,Mumbai,1,01-04-2012,12-05-2015,12-05-2015,0
Planet SuperHeroes,E-Commerce,539691,operating,IND,Mumbai,1,01-01-2013,30-11-2015,30-11-2015,0
Plash Digital Labs,Mobile,160000,operating,IND,Bangalore,1,24-12-2012,01-03-2013,01-03-2013,0
Playcez,Mobile,530000,closed,IND,New Delhi,2,01-01-2010,31-10-2012,08-03-2013,1
PlaySimple,Entertainment|Games|Online Gaming,-,operating,IND,Bangalore,1,,23-11-2014,23-11-2014,0
Pluss App,Health Care,1000000,operating,IND,Gurgaon,1,01-01-2015,25-11-2015,25-11-2015,0
Pluss Polymers,Biotechnology,2400000,operating,IND,Haryana,1,01-01-1993,08-07-2013,08-07-2013,0
Plustxt,Messaging,-,acquired,IND,Bangalore,1,,16-12-2012,16-12-2012,2
PocketAd,Advertising|Games|Mobile|Mobile Games,35000,operating,IND,New Delhi,1,01-01-2014,10-07-2014,10-07-2014,0
Poddar Developers,Construction,20000000,operating,IND,Kalyan,1,1887-01-01,21-01-2015,21-01-2015,0
POKKT,Games,7500000,operating,IND,Mumbai,3,01-08-2012,02-10-2013,03-11-2015,0
PolicyBazaar,Finance|FinTech,69600000,operating,IND,Gurgaon,5,01-01-2008,25-05-2011,15-04-2015,0
Policyx,Finance|Insurance|Insurance Companies,1000000,operating,IND,Gurgaon,1,19-11-2013,01-12-2013,01-12-2013,0
Polygenta Technologies,Textiles,3600000,operating,IND,Mumbai,1,,21-07-2014,21-07-2014,0
POOLMYRIDE,Air Pollution Control|Android|Apps|Environmental Innovation|iOS|Public Transportation,-,operating,IND,New Delhi,1,11-07-2013,18-12-2014,18-12-2014,0
POPxo,Beauty|Digital Media|Fashion|Lifestyle,2800000,operating,IND,New Delhi,3,01-03-2013,01-07-2013,05-11-2015,0
Portea Medical,Health Care|Healthcare Services|Medical,46500000,operating,IND,Bangalore,2,,02-12-2013,20-09-2015,0
PoshVine,Curated Web,-,operating,IND,Bangalore,1,27-10-2011,26-06-2012,26-06-2012,0
PosterGully,E-Commerce|Postal and Courier Services,160000,operating,IND,New Delhi,1,01-03-2012,08-06-2015,08-06-2015,0
Postman,Software,1000000,operating,IND,Bangalore,1,01-09-2013,26-05-2015,26-05-2015,0
Power Mech Projects,Construction,13000000,operating,IND,Hyderabad,1,01-01-1999,07-08-2015,07-08-2015,0
Power2SME,Enterprise Software,14800000,operating,IND,Mumbai,3,01-01-2012,01-01-2012,15-09-2014,0
PowerStores,E-Commerce|Hardware + Software|Internet|SaaS,2000000,operating,IND,Goa,1,01-01-2011,15-07-2013,15-07-2013,0
Prabhat fresh,Distribution,12800000,operating,IND,Mumbai,1,01-01-1998,23-09-2015,23-09-2015,0
Practo,Health Care|Marketplaces|SaaS|Software,124000000,operating,IND,Bangalore,3,18-05-2008,30-07-2012,06-08-2015,0
Pratilipi,Digital Media|E-Books|Reading Apps,47896,operating,IND,Bangalore,1,,20-04-2015,20-04-2015,0
Praxify,Software,-,operating,IND,Pune,1,,16-12-2012,16-12-2012,0
PressPlay,Entertainment|Startups|Travel|Travel & Tourism,2700000,operating,IND,New Delhi,2,01-12-2013,20-08-2014,07-04-2015,0
PressConnect,News,500000,closed,IND,Bangalore,1,01-01-2012,01-01-2012,01-01-2012,1
PrettySecrets,E-Commerce|Lingerie|Retail,2000000,operating,IND,Mumbai,1,01-10-2012,08-09-2014,08-09-2014,0
Prevalence Green Solutions,Manufacturing,-,operating,IND,Bangalore,1,12-08-2011,27-10-2014,27-10-2014,0
PriceBaba,Comparison Shopping|Mobile|Search,-,operating,IND,Mumbai,1,01-01-2012,14-05-2013,14-05-2013,0
PriceBurp,Coupons|Shopping,100000,operating,IND,Mumbai,1,10-03-2010,20-10-2014,20-10-2014,0
Primaseller,Retail,-,operating,IND,Bangalore,2,26-06-2013,22-12-2014,19-10-2015,0
Prime Focus,Games,53000000,operating,IND,Goregaon,1,01-01-1997,21-06-2013,21-06-2013,0
Prime Focus Technologies,Software,7500000,operating,IND,Mumbai,1,01-01-2008,09-04-2014,09-04-2014,0
Primus Retail,,12000000,operating,IND,Bengaluru,1,,27-08-2007,27-08-2007,0
Printland,E-Commerce,810094,operating,IND,New Delhi,2,01-10-2011,20-09-2013,09-06-2015,0
Printvenue,Internet,4500000,operating,IND,Haryana,1,01-01-2012,29-01-2015,29-01-2015,0
Private Company,Social Media,-,operating,IND,Mumbai,1,,31-03-2014,31-03-2014,0
Prizm Payment Services,Finance,8000000,acquired,IND,Chennai,1,01-01-2008,05-08-2011,05-08-2011,2
Process 9,Software,-,operating,IND,Bangalore,1,,11-03-2015,11-03-2015,0
Profoundis Labs,Social Media|Software,40000,operating,IND,Kochi,2,01-06-2012,17-12-2013,22-07-2014,0
Proklean Technologies,Clean Technology|Hospitality|Technology,550000,operating,IND,Chennai,1,01-01-2009,01-06-2015,01-06-2015,0
Proof-of-Performance,Advertising,-,operating,IND,Noida,3,01-01-2010,01-10-2010,26-03-2012,0
Propstack,Commercial Real Estate|Information Services|Real Estate,3000000,operating,IND,Mumbai,1,01-01-2013,03-06-2015,03-06-2015,0
PropTiger,Real Estate,30000000,operating,IND,Gurgaon,1,01-02-2011,25-11-2014,25-11-2014,0
Prothom Industries,Consumer Goods,2000000,operating,IND,Pune,1,01-01-2013,31-07-2015,31-07-2015,0
Purple Squirrel Eduventures,Career Management|Education|Professional Services,300000,operating,IND,Bombay,2,01-01-2013,01-07-2014,09-04-2015,0
Purplle,E-Commerce,-,operating,IND,Mumbai,2,01-09-2011,26-08-2013,05-01-2015,0
QED | EVEREST EDUSYS AND SOLUTIONS,Education|K-12 Education|Training,941697,operating,IND,Chennai,1,,24-03-2014,24-03-2014,0
Qikpod,Logistics,9000000,operating,IND,Bangalore,1,01-01-2015,30-11-2015,30-11-2015,0
Qikwell Technologies,Health and Wellness|Health Care Information Technology|Mobile Health|Telephony,3000000,acquired,IND,Bangalore,2,15-09-2011,12-09-2014,24-11-2014,2
reQall,Hardware|Mobile,2500000,operating,IND,Hyderabad,1,01-01-2007,01-01-2006,01-01-2006,0
Quadrigo,Internet Marketing|SEO|Social Media,30000,operating,IND,Jaipur,1,,07-09-2014,07-09-2014,0
Quartz Solutions,,-,operating,IND,Aurangabad,1,15-03-2003,18-01-2012,18-01-2012,0
Qubecell,Finance,-,acquired,IND,Mumbai,1,01-01-2012,01-01-2013,01-01-2013,2
Quick Heal Technologies,Software,13000000,operating,IND,Pune,1,,18-08-2010,18-08-2010,0
Quickli,Apps|Transportation|Travel,-,operating,IND,Gurgaon,1,12-04-2015,28-09-2015,28-09-2015,0
QuickoLabs,Internet Marketing|SaaS|Search Marketing|SEO|Software,1240000,operating,IND,Bangalore,4,01-10-2010,10-10-2010,10-04-2015,0
Quifers,Transportation,607000,operating,IND,Mumbai,2,,08-10-2015,08-10-2015,0
Quikr,Curated Web,346000000,operating,IND,Mumbai,6,12-01-2008,31-03-2010,07-04-2015,0
Quippo Infrastructure,Clean Technology,113300000,operating,IND,New Delhi,1,,12-08-2008,12-08-2008,0
QwikCilver Solutions,Computers|Software,10000000,operating,IND,Bangalore,1,,24-12-2014,24-12-2014,0
Qyk,Apps,1000000,operating,IND,Bangalore,2,01-01-2014,13-03-2015,25-08-2015,0
Qyuki,Collaboration|Creative|Curated Web|Music,15400000,operating,IND,Bangalore,2,01-06-2011,14-02-2012,16-01-2015,0
Rabitech Technologies,Hardware + Software|SaaS|Wearables,4886,operating,IND,Cochin,1,27-07-2014,01-11-2014,01-11-2014,0
RailYatri,Apps,486000,operating,IND,Noida,2,01-01-2011,20-11-2014,30-06-2015,0
Rainbow Hospitals,Biotechnology,19500000,operating,IND,Hyderabad,1,01-01-1996,13-08-2013,13-08-2013,0
Raincan,E-Commerce,100000,ipo,IND,Pune,1,16-03-2000,10-08-2015,10-08-2015,2
Ramco Systems,Cloud Computing,52000000,operating,IND,Chennai,1,01-01-1999,07-05-2015,07-05-2015,0
RateGain,Information Technology,50000000,operating,IND,Noida,2,01-01-2004,14-01-2015,15-01-2015,0
Razorpay,FinTech|Payments,11600000,operating,IND,Bangalore,2,01-01-2013,23-03-2015,27-10-2015,0
rBus,Communities|Travel,-,operating,IND,Mumbai,1,01-01-2015,24-08-2015,24-08-2015,0
ReachTax,Finance,-,operating,IND,Chennai,1,,13-08-2009,13-08-2009,0
