Startup,Industry,City,TotalFunding,FundingRounds,Stage,Status,Source,StatusCode
Bigbasket.com,E-Commerce,Bangalore,85799999.0,3,Unknown,Safe,trikala_original,1
Bigscal Technologies Pvt Ltd.,Big Data,Surat,1800000.0,1,Unknown,Safe,trikala_original,1
BigStylist,Beauty,Mumbai,1000000.0,1,Unknown,Safe,trikala_original,1
BigZop,Internet,Gurgaon,600000.0,1,Unknown,Safe,trikala_original,1
Bijlipay,E-Commerce,Chennai,2000000.0,1,Unknown,Safe,trikala_original,1
Billdesk,Curated Web,Ahmedabad,1800000.0,1,Unknown,Safe,trikala_original,1
Billionmacros,Apps,Hyderabad,396497.0,2,Unknown,Safe,trikala_original,1
Biotz,Hardware,Delhi,35000.0,2,Unknown,Safe,trikala_original,1
Birds Eye Systems,Apps,Mumbai,320000.0,2,Unknown,Safe,trikala_original,1
Biryani Blues,Restaurants,Gurgaon,1800000.0,1,Unknown,Safe,trikala_original,1
Biscoot,Games,Mumbai,1800000.0,1,Unknown,Safe,trikala_original,1
Bite Club,E-Commerce,Gurgaon,500000.0,2,Unknown,Safe,trikala_original,1
Bizeso Services Private Limited,Advertising,Delhi,1800000.0,1,Unknown,Safe,trikala_original,1
Bizongo,B2B,Powai,1800000.0,1,Unknown,Safe,trikala_original,1
bizsol,Software,Chennai,50000.0,1,Unknown,Safe,trikala_original,1
Black is Pink,E-Commerce,Delhi,40000.0,1,Unknown,Failed,trikala_original,0
Black White Orange Brands,Unknown,Mumbai,1800000.0,1,Unknown,Safe,trikala_original,1
BlackBamboozStudio,Entertainment,Guwahati,19889.0,1,Unknown,Safe,trikala_original,1
Blowhorn,Marketplaces,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
BLUBOX.in,Analytics,Mumbai,100000.0,2,Unknown,Safe,trikala_original,1
Blue Box Media Private Limited,Internet,Jaipur,8217.0,1,Unknown,Safe,trikala_original,1
Blue Bus Tees,E-Commerce,Mumbai,1800000.0,1,Unknown,Safe,trikala_original,1
Bluegape Lifestyle,E-Commerce,Delhi,1070000.0,5,Unknown,Safe,trikala_original,1
Bluestone.com,Curated Web,Bangalore,30800000.0,3,Unknown,Safe,trikala_original,1
Bobble App,Apps,Delhi,1800000.0,1,Unknown,Safe,trikala_original,1
Bodhi Health Education,Education,Gurgaon,1800000.0,1,Unknown,Safe,trikala_original,1
Bodhicrew Services,Employment,Delhi,1800000.0,1,Unknown,Safe,trikala_original,1
Boibanit,Delivery,Vadodara,150000.0,1,Unknown,Safe,trikala_original,1
BolRealty.com,Unknown,Delhi,1800000.0,1,Unknown,Safe,trikala_original,1
Booking Social,Data Integration,Chennai,48867.0,1,Unknown,Safe,trikala_original,1
BookingArena.com,E-Commerce,Delhi,1883.0,1,Unknown,Safe,trikala_original,1
BookMEDS,E-Commerce,Hyderabad,100000.0,1,Unknown,Safe,trikala_original,1
BookMeIn,Information Technology,Mumbai,377000.0,1,Unknown,Safe,trikala_original,1
BookMyBai.com,Child Care,Mumbai,150000.0,1,Unknown,Safe,trikala_original,1
Bookmycab,Public Transportation,Mumbai,6500000.0,2,Unknown,Safe,trikala_original,1
BookMyForex.com,E-Commerce,Gurgaon,1800000.0,1,Unknown,Safe,trikala_original,1
BookMyShow,Entertainment,Mumbai,43000000.0,2,Unknown,Safe,trikala_original,1
Bookmytrainings PVT Ltd,Education,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Boond,Product Development Services,Delhi,1800000.0,1,Unknown,Safe,trikala_original,1
bounty app,Unknown,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Box8,Food Processing,Mumbai,3500000.0,1,Unknown,Safe,trikala_original,1
BoxMySpace,Services,Mumbai,3200000.0,1,Unknown,Safe,trikala_original,1
Brainwave Education,Education,Bangalore,40000.0,1,Unknown,Safe,trikala_original,1
Brandpotion,Advertising,Mumbai,1800000.0,1,Unknown,Safe,trikala_original,1
Brigge Technologies,E-Commerce,Chennai,1800000.0,1,Unknown,Safe,trikala_original,1
Bro4u.com,E-Commerce,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Broex.in,Apps,Haryana,1000000.0,1,Unknown,Safe,trikala_original,1
Browntape,E-Commerce,Goa,60000.0,3,Unknown,Safe,trikala_original,1
BTCXIndia,Bitcoin,Hyderabad,1800000.0,2,Unknown,Safe,trikala_original,1
BTI Payments,Curated Web,Bangalore,22400000.0,1,Unknown,Safe,trikala_original,1
Bucketkart Online Services,E-Commerce,Bangalore,150000.0,1,Unknown,Safe,trikala_original,1
Bueno Foods,Food Processing,Delhi,600000.0,1,Unknown,Safe,trikala_original,1
Burger Singh,Restaurants,Gurgaon,350000.0,1,Unknown,Safe,trikala_original,1
burrp!,Curated Web,Mumbai,2150000.0,2,Unknown,Safe,trikala_original,1
butterflyapp,Information Technology,Delhi,1800000.0,1,Unknown,Safe,trikala_original,1
BuyHatke,E-Commerce,Bangalore,1000000.0,1,Unknown,Safe,trikala_original,1
BuyingIQ,Curated Web,Gurgaon,250000.0,1,Unknown,Safe,trikala_original,1
Buyt.In,E-Commerce,Delhi,1000000.0,1,Unknown,Safe,trikala_original,1
BVG India,Consulting,Pune,1800000.0,1,Unknown,Safe,trikala_original,1
Cafe Coffee Day,Coffee,Bangalore,71000000.0,2,Unknown,Safe,trikala_original,1
Callystro,Education,Mangalore,36000.0,1,Unknown,Safe,trikala_original,1
Campus Diaries,College Campuses,Bangalore,175000.0,1,Unknown,Safe,trikala_original,1
CanvasFilp,Software,Noida,1200000.0,1,Unknown,Safe,trikala_original,1
Canvera Digital Technologies,Software,Bangalore,12153000.0,6,Unknown,Safe,trikala_original,1
Capital Float,Financial Services,Bangalore,16000000.0,3,Unknown,Safe,trikala_original,1
CapriCoast,Furniture,Bangalore,1250000.0,1,Unknown,Safe,trikala_original,1
Capricorn Food Products India,Hospitality,Chennai,10000000.0,1,Unknown,Safe,trikala_original,1
Captronic Systems,Manufacturing,Bangalore,3318000.0,1,Unknown,Safe,trikala_original,1
CaptureSolar Energy,Energy,Pune,125000000.0,1,Unknown,Safe,trikala_original,1
CaratLane,E-Commerce,Chennai,52000000.0,3,Unknown,Safe,trikala_original,1
Caravan,Home Decor,Bangalore,1994633.0,3,Unknown,Safe,trikala_original,1
Cardback,Android,Delhi,170000.0,1,Unknown,Safe,trikala_original,1
Cardekho,Automotive,Gurgaon,65000000.0,3,Unknown,Safe,trikala_original,1
Care24,Unknown,Mumbai,350000.0,1,Unknown,Safe,trikala_original,1
Careers360,Education,Delhi,1800000.0,1,Unknown,Safe,trikala_original,1
Cartisan,Automotive,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
CarTrade,Automotive,Mumbai,30200000.0,1,Unknown,Safe,trikala_original,1
CarveNiche,Software,Bangalore,1800000.0,2,Unknown,Safe,trikala_original,1
Carving Notions Technologies,Market Research,Hyderabad,23000.0,1,Unknown,Safe,trikala_original,1
CarWale,E-Commerce,Mumbai,7000000.0,2,Unknown,Safe,trikala_original,1
Casa Grande,Real Estate,Chennai,9500000.0,1,Unknown,Safe,trikala_original,1
Cashkaro,E-Commerce,Unknown,4550000.0,2,Unknown,Safe,trikala_original,1
Caspian Impact Investments,Unknown,Hyderabad,20000000.0,1,Unknown,Safe,trikala_original,1
Catacomb Technologies,Internet,Cochin,10000.0,1,Unknown,Safe,trikala_original,1
Catapooolt,Games,Mumbai,1800000.0,1,Unknown,Safe,trikala_original,1
Unnati Silks Pvt Ltd,E-Commerce,Chennai,3500000.0,1,Unknown,Safe,trikala_original,1
Cbazaar.com,Internet,Chennai,1800000.0,1,Unknown,Safe,trikala_original,1
CE Info Systems,Software,Delhi,34000000.0,2,Unknown,Safe,trikala_original,1
Cedar Books,Knowledge Management,Delhi,1000000.0,1,Unknown,Safe,trikala_original,1
Celon Laboratories,Biotechnology,Hyderabad,15800000.0,1,Unknown,Safe,trikala_original,1
Centre for Sight,Biotechnology,Delhi,5000000.0,1,Unknown,Safe,trikala_original,1
CEON Solutions Pvt,Education,Nasrapur,688000.0,1,Unknown,Safe,trikala_original,1
Cerana Beverages,Consumer Goods,Unknown,1800000.0,1,Unknown,Safe,trikala_original,1
CESC,Utilities,Kolkata,80000000.0,1,Unknown,Safe,trikala_original,1
Chai Point,Food Processing,Bangalore,10000000.0,1,Unknown,Safe,trikala_original,1
Chakpak Media,News,Bangalore,5000000.0,1,Unknown,Safe,trikala_original,1
Channel Mentor IT,Engineering Firms,Bangalore,286509.0,1,Unknown,Safe,trikala_original,1
Channelyst,Distribution,Bangalore,300000.0,1,Unknown,Safe,trikala_original,1
Chase Ya Dreamz (Crazyy Frog Pvt Ltd,Startups,Gurgaon,1800000.0,1,Unknown,Safe,trikala_original,1
Chef's Basket,Restaurants,Mumbai,6000000.0,1,Unknown,Safe,trikala_original,1
Chillr,Apps,Cochin,6500000.0,2,Unknown,Safe,trikala_original,1
Chumbak,E-Commerce,Bangalore,2000000.0,2,Unknown,Safe,trikala_original,1
Ciafo,Curated Web,Bangalore,245000.0,1,Unknown,Safe,trikala_original,1
Cians Analytics,Analytics,Gurgaon,2000000.0,1,Unknown,Safe,trikala_original,1
CineBee Reviews Pvt Ltd,Apps,Bangalore City,300000.0,1,Unknown,Safe,trikala_original,1
CircuitSutra Technologies,Semiconductors,Noida,198000.0,1,Unknown,Safe,trikala_original,1
Citrus Payment,E-Commerce,Mumbai,32300000.0,3,Unknown,Safe,trikala_original,1
Cityflo,Transportation,Mumbai,750000.0,1,Unknown,Safe,trikala_original,1
Clancap,Unknown,Bangalore,15000.0,1,Unknown,Safe,trikala_original,1
Clapsnslaps,Entertainment,Mumbai,150000.0,1,Unknown,Safe,trikala_original,1
Claro Energy,Clean Technology,Delhi,2000000.0,2,Unknown,Safe,trikala_original,1
Classteacher Learning Systems,Edtech,Gurgaon,15000000.0,1,Unknown,Safe,trikala_original,1
Clear-Data Analytics,Analytics,Noida,100000.0,1,Unknown,Safe,trikala_original,1
ClearTax,Accounting,Delhi,120000.0,2,Unknown,Safe,trikala_original,1
Cleartrip,Travel,Mumbai,56400000.0,4,Unknown,Safe,trikala_original,1
Clonect Solutions,Enterprises,Bangalore,246517.0,1,Unknown,Safe,trikala_original,1
Cloud Amenity,Consulting,Chennai,1800000.0,1,Unknown,Safe,trikala_original,1
cloud infra LLC,Big Data,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
CloudCodes,Software,Pune,100000.0,1,Unknown,Safe,trikala_original,1
Clovia,Fashion,Noida,4687545.0,1,Unknown,Safe,trikala_original,1
Clumpling,Digital Media,Delhi,21250.0,1,Unknown,Safe,trikala_original,1
CoCubes.com,All Students,Gurgaon,1800000.0,1,Unknown,Safe,trikala_original,1
Cocult,Application Platforms,Gurgaon,20000.0,1,Unknown,Safe,trikala_original,1
Codelearn,E-Commerce,Bangalore,150000.0,1,Unknown,Safe,trikala_original,1
CodeNxt Web Technologies Private Limited,Consulting,Ahmedabad,32848.0,2,Unknown,Safe,trikala_original,1
Collectabillia.com,Fashion,Bangalore,18137504.0,3,Unknown,Safe,trikala_original,1
CollegeDekho,Unknown,Unknown,1000000.0,1,Unknown,Safe,trikala_original,1
Collegedunia,Education,Delhi,162787.0,1,Unknown,Safe,trikala_original,1
Collisionable,Entrepreneur,Delhi,16500.0,1,Unknown,Safe,trikala_original,1
Comat Technologies,Governments,Bangalore,25000000.0,3,Unknown,Failed,trikala_original,0
CommonFloor,Real Estate,Bangalore,62900000.0,4,Unknown,Safe,trikala_original,1
ConfirmTKT.com,Information Services,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
ConnectAbank,Finance,Mumbai,1800000.0,2,Unknown,Safe,trikala_original,1
ConnectM Technology Solutions,Intellectual Asset Management,Bangalore,10000000.0,2,Unknown,Safe,trikala_original,1
Conquest,Startups,Pilani,6000000.0,1,Unknown,Safe,trikala_original,1
Contentmart.in,Content,Gurgaon,1800000.0,1,Unknown,Safe,trikala_original,1
ConveGenius,Software,Unknown,302938.0,1,Unknown,Safe,trikala_original,1
CoolJunk,Education,Delhi,120000.0,1,Unknown,Safe,trikala_original,1
Cooolio Online,Consulting,Bangalore,210000.0,1,Unknown,Safe,trikala_original,1
Cooptions Technologies,Software,Hyderabad,10000000.0,1,Unknown,Failed,trikala_original,0
Core Diagnostics,Biotechnology,Gurgaon,5000000.0,1,Unknown,Safe,trikala_original,1
CostPrize,E-Commerce,Bangalore,350000.0,2,Unknown,Safe,trikala_original,1
Country Cabs,Business Services,Pune,16833.1275951072,1,Unknown,Safe,trikala_original,1
Covacsis,Big Data Analytics,Mumbai,450000.0,3,Unknown,Safe,trikala_original,1
Coverfox Insurance,Insurance,Mumbai,12000000.0,1,Unknown,Safe,trikala_original,1
Craftsvilla,E-Commerce,Mumbai,54500000.0,4,Unknown,Safe,trikala_original,1
CreditMantri,Financial Services,Chennai,2500000.0,1,Unknown,Safe,trikala_original,1
Creditseva.com,Banking,Hyderabad,15931.0,1,Unknown,Safe,trikala_original,1
Crispify,Android,Bangalore,40000.0,1,Unknown,Safe,trikala_original,1
Crispy Games Private Limited,Games,Mumbai,40000.0,1,Unknown,Safe,trikala_original,1
CRMNEXT,Crm,Noida,7003500.0,1,Unknown,Safe,trikala_original,1
CronJ IT Technologies Private Limited,Enterprise Software,Hyderabad,10000.0,1,Unknown,Safe,trikala_original,1
CropIn Technologies,Mobility,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Cross Roads,Services,Delhi,1500000.0,1,Unknown,Safe,trikala_original,1
Crude Area,Art,Mumbai,115015.0,2,Unknown,Safe,trikala_original,1
Cubicle,Consulting,Mumbai,40000.0,1,Unknown,Safe,trikala_original,1
Cubito,Information Technology,Bangalore,160000.0,3,Unknown,Safe,trikala_original,1
CueLearn,Education,Delhi,1800000.0,1,Unknown,Safe,trikala_original,1
Cultivate IT Solutions & Management Pvt. Ltd.,Information Technology,Ghaziabad,20000.0,1,Unknown,Failed,trikala_original,0
Culture Machine,Digital Media,Mumbai,21500000.0,2,Unknown,Safe,trikala_original,1
CultureAlley,Browser Extensions,Jaipur,6845000.0,4,Unknown,Safe,trikala_original,1
Cupick,Art,Bangalore,120000.0,1,Unknown,Safe,trikala_original,1
CURA Healthcare,Health And Wellness,Chennai,15000000.0,2,Unknown,Safe,trikala_original,1
Curatio Healthcare,Health And Wellness,Chennai,16200000.0,1,Unknown,Safe,trikala_original,1
CUROFY,Health Care,Gurgaon,1800000.0,1,Unknown,Safe,trikala_original,1
Curves,Health And Wellness,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Customer Labs,Technology,Chennai,50000.0,1,Unknown,Safe,trikala_original,1
Customer360,Customer Service,Mumbai,500000.0,2,Unknown,Safe,trikala_original,1
CustomerXPs Software,Customer Service,Bangalore,4000000.0,2,Unknown,Safe,trikala_original,1
Customfurnish.com,E-Commerce,Hyderabad,2500000.0,1,Unknown,Safe,trikala_original,1
Cuztomise,Collaboration,Indore,1800000.0,1,Unknown,Safe,trikala_original,1
Cygnus Medicare,Health And Wellness,Delhi,9760000.0,1,Unknown,Safe,trikala_original,1
Daily Ninja,Apps,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
DailyObjects.com,Computers,Delhi,1800000.0,1,Unknown,Safe,trikala_original,1
Daksh Infosoft,Advertising,Jaipur,6000000.0,1,Unknown,Safe,trikala_original,1
DAS GROUP OF SOLUTIONS,Advice,Mumbai,5118761.0,1,Unknown,Failed,trikala_original,0
Dataresolve Technologies,Data Security,Kolkata,20000.0,2,Unknown,Safe,trikala_original,1
dateIITians,Facebook Applications,Bangalore,20000.0,1,Unknown,Safe,trikala_original,1
DealsAndYou,Curated Web,Gurgaon,18500000.0,2,Unknown,Safe,trikala_original,1
DecideQuick,Curated Web,Trivandrum,100000.0,1,Unknown,Safe,trikala_original,1
Deck App Technologies,Enterprise Software,Bangalore,600000.0,1,Unknown,Safe,trikala_original,1
DEE Piping Systems,Unknown,Tanakpur,1800000.0,1,Unknown,Safe,trikala_original,1
Delhivery,Logistics,Gurgaon,127500000.0,4,Unknown,Safe,trikala_original,1
DeliveryChef.in,E-Commerce,Mumbai,1800000.0,1,Unknown,Safe,trikala_original,1
DeltaX,Advertising,Bangalore,1800000.0,1,Unknown,Safe,trikala_original,1
Delyver.com,Online Shopping,Bangalore,1000000.0,1,Unknown,Safe,trikala_original,1
Denty's,Dental,Hyderabad,4500000.0,1,Unknown,Safe,trikala_original,1
DesiCrew Solutions,Edtech,Chennai,1200000.0,1,Unknown,Safe,trikala_original,1
